11,1,86,01,17,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
11,1,86,01,18,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
11,1,86,01,18,0,//,//,/,//,/,/,/,08,/,/,/, ,  ,21,8////,               ,
11,1,86,01,21,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
17,1,86,01,21,0,08,30,/,//,8,1,0,01,3,4,1, ,  ,08,/////,               ,
04,1,86,01,21,0,09,15,/,03,7,5,2,03,2,0,1, ,  ,08,/////,               ,
09,1,86,01,21,0,10,40,/,03,8,1,5,01,1,1,1, ,19,08,/////,               ,
38,1,86,01,21,0,10,50,/,13,8,1,5,01,1,0,1, ,18,08,/////,               ,
38,1,86,01,21,0,10,50,/,13,8,1,5,02,2,1,1, ,18,08,/////,               ,
16,1,86,01,21,0,12,45,/,02,/,/,/,03,1,1,2, ,16,08,/////,               ,
38,1,86,01,21,0,12,50,/,01,8,1,5,03,1,1,1, ,16,08,/////,               ,
16,1,86,01,21,0,13,10,/,01,/,/,/,02,1,1,2, ,16,08,/////,               ,
33,1,86,01,21,2,13,45,/,00,/,1,2,03,2,4,2, ,  ,08,/////,               ,
06,2,86,01,21,0,18,45,/,05,/,/,/,01,1,0,1, ,  ,04,/////,               ,
16,2,86,01,21,0,19,30,/,06,/,/,/,01,2,0,1, ,10,08,/////,               ,
07,2,86,01,21,0,20,17,/,06,6,7,5,01,1,0,2, ,  ,07,/////,               ,
04,2,86,01,21,0,20,40,/,01,7,5,9,01,2,0,2, ,08,08,/////,               ,
38,2,86,01,21,0,21,25,/,01,8,1,8,01,2,0,2, ,06,08,/////,               ,
17,1,86,01,22,1,11,53,/,02,2,1,0,01,3,1,1, ,  ,08,/////,               ,
17,1,86,01,22,1,11,53,/,02,2,1,0,05,2,4,1, ,  ,08,/////,               ,
09,1,86,01,22,0,15,45,/,01,2,1,8,03,2,1,2, ,12,08,/////,               ,
07,1,86,01,22,1,15,57,/,01,6,7,0,03,1,1,1, ,23,07,/////,               ,
07,1,86,01,22,1,16,25,/,00,8,7,0,02,0,4,1, ,22,07,/////,               ,
07,1,86,01,22,1,16,32,/,00,8,7,0,08,1,4,1, ,  ,07,801//,               ,
09,2,86,01,22,0,17,55,/,08,/,3,7,01,2,0,1, ,09,08,/////,               ,Aureole und Kranz
38,2,86,01,22,0,18,05,/,19,8,5,0,01,3,0,2,2,10,08,/////,               ,
16,2,86,01,22,0,18,25,/,06,/,/,/,01,2,0,2, ,17,08,/////,               ,
10,2,86,01,22,0,18,30,/,24,8,1,0,01,2,0,2, ,  ,04,/////,               ,
06,2,86,01,22,1,18,40,/,04,8,5,0,01,/,/,/, ,08,04,/////,               ,
02,2,86,01,22,0,19,00,/,04,/,/,/,01,1,0,1, ,  ,08,/////,               ,k 0.85
37,2,86,01,22,0,20,00,/,00,7,7,0,01,0,3,/, ,14,07,/////,               ,
06,2,86,01,22,1,20,05,/,03,/,3,0,01,/,/,/, ,07,04,/////,               ,
07,2,86,01,22,0,21,27,/,01,8,7,9,01,1,0,1, ,17,07,/////,               ,kE
06,2,86,01,22,1,22,10,/,12,/,3,0,01,/,/,/, ,04,04,/////,               ,
11,1,86,01,23,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
11,1,86,01,23,0,//,//,/,//,/,/,/,04,/,/,/, ,  ,21,/////,               ,
11,1,86,01,23,0,//,//,/,//,/,/,/,05,/,/,/, ,  ,21,/////,               ,
06,2,86,01,23,1,01,10,/,06,/,3,9,01,/,/,/, ,01,04,/////,               ,
38,1,86,01,23,0,13,00,/,01,4,3,9,03,2,1,1,2,03,08,/////,               ,
