11,1,88,01,01,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
09,1,88,01,09,1,12,25,1,03,6,1,0,01,1,1,1, ,//,07,/////,b-c-d-e-f      ,
09,1,88,01,09,1,12,25,1,01,6,1,0,05,2,1,1, ,//,07,/////,               ,Aufklarung, kein Niederschlag
25,1,88,01,09,0,13,10,1,14,7,5,0,01,1,1,1, ,  ,08,/////,b-c/d/e-f      ,
25,1,88,01,09,0,13,10,1,02,7,5,0,03,1,1,1, ,  ,08,/////,               ,
26,1,88,01,09,0,13,30,2,01,2,1,5,01,1,1,1,3,//,08,/////,f              ,
26,1,88,01,09,0,13,30,2,01,2,1,5,03,1,1,2,3,//,08,/////,               ,
38,1,88,01,09,0,15,20,1,02,8,5,0,03,1,1,1,3,//,08,/////,               ,
10,1,88,01,09,0,15,50,1,01,2,1,0,01,1,3,1,1,//,04,/////,d              ,
06,2,88,01,09,0,19,45,2,40,4,3,8,01,1,0,1,1,35,04,/////,c-d-e          ,
10,2,88,01,10,0,04,00,2,14,8,5,0,01,2,0,2,1,//,04,/////,               ,Warmfront, sehr lange gegen Hoch anlaufend
10,1,88,01,10,0,09,00,2,02,8,5,0,01,1,0,1,1,//,04,/////,b-c-d-e-f      ,Warmfront, sehr lange gegen Hoch anlaufend
02,1,88,01,10,0,10,00,1,15,4,5,3,01,2,1,1, ,  ,08,/////,b-c-d-e-f      ,
02,1,88,01,10,0,10,00,1,15,4,5,3,04,1,1,1, ,  ,08,/////,               ,
09,1,88,01,10,1,10,12,1,08,6,5,5,11,2,1,1, ,  ,07,/////,               ,ca. 150¯ des Ringes, 10' Unterbrechung
09,1,88,01,10,1,10,20,1,03,/,/,/,03,2,1,2, ,  ,07,/////,               ,Schweifansatz
09,1,88,01,10,1,10,20,1,03,/,/,/,05,2,1,1, ,  ,07,/////,               ,
07,1,88,01,10,0,10,21,2,07,8,5,7,01,1,4,1,1,23,07,/////,b-c-d-e-f      ,
27,1,88,01,10,0,10,25,1,01,5,4,0,03,1,1,1, ,26,08,/////,               ,
25,1,88,01,10,0,10,40,1,22,8,5,0,01,1,1,1, ,  ,08,/////,b-c-d-e-f      ,
27,1,88,01,10,0,10,55,1,00,5,4,0,01,1,1,1, ,26,08,/////,d              ,
04,1,88,01,10,0,11,00,1,04,7,6,0,01,1,4,1,1,20,08,/////,b-c-d-e-f      ,kE
38,1,88,01,10,0,11,10,1,02,8,5,0,01,1,1,1, ,//,08,/////,d-e            ,
17,1,88,01,10,2,11,22,1,04,8,5,0,01,1,4,1,2,07,07,/////,c-d-e-f-g      ,
25,1,88,01,10,0,11,45,1,00,8,5,0,02,1,1,1, ,  ,08,/////,               ,
37,1,88,01,10,0,11,45,2,07,8,7,0,01,2,3,1, ,  ,07,/////,b-c-d-e-f      ,
37,1,88,01,10,0,11,45,2,07,8,7,0,05,1,2,1, ,  ,07,/////,               ,
25,1,88,01,10,0,12,10,1,00,8,5,0,03,1,1,1, ,  ,08,/////,               ,
26,1,88,01,10,0,12,35,1,06,7,1,0,01,0,1,1, ,  ,08,/////,b-c-d-e-f      ,
27,1,88,01,10,0,13,10,1,//,5,4,0,12,0,1,1, ,23,08,/////,d              ,kE
29,1,88,01,10,0,13,15,/,01,/,/,/,01,1,1,1, ,  ,08,/////,c-d-e          ,
09,1,88,01,10,1,14,00,2,02,/,3,2,01,1,4,1, ,  ,07,/////,d-e-f-g        ,spÑter Cu-Verdichtung
18,1,88,01,10,0,15,00,1,02,1,1,0,08,0,0,2,3,  ,08,803//,               ,
15,1,88,01,10,2,16,45,/,02,4,3,2,01,1,2,1, ,//,08,/////,c-d-e          ,
11,1,88,01,13,0,//,//,/,//,/,/,/,03,/,/,/, ,  ,21,/////,               , 
40,1,88,01,13,0,08,45,/,//,/,/,/,08,/,/,/, ,  ,01,805//,               ,
15,1,88,01,13,2,11,00,/,02,3,3,0,08,2,4,1, ,//,08,803//,               ,
40,1,88,01,13,0,12,50,/,//,/,/,/,03,/,/,/, ,  ,01,/////,               ,
07,1,88,01,13,2,13,15,2,03,8,3,8,01,1,4,1,1,//,07,/////,d-e-f          ,
07,1,88,01,13,2,13,21,2,01,8,3,8,03,1,4,1,1,//,07,/////,               ,
40,1,88,01,13,0,14,25,/,//,/,/,/,01,/,/,/, ,  ,01,/////,               ,
40,1,88,01,13,0,14,25,/,//,/,/,/,05,/,/,/, ,  ,01,/////,               ,
40,1,88,01,13,0,14,30,/,//,/,/,/,02,/,/,/, ,  ,01,/////,               ,
28,1,88,01,14,2,09,15,1,25,8,3,0,01,2,1,1,1,//,07,/////,b-c-d-e-f      ,
15,1,88,01,14,2,10,20,/,14,6,3,7,01,1,3,1, ,//,08,/////,b-c-d-e-f      ,
28,1,88,01,14,2,10,50,1,01,8,3,0,03,0,1,1,1,//,07,/////,               ,
09,1,88,01,14,1,11,45,1,11,7,3,1,01,2,1,1, ,10,07,/////,b-c-d-e-f      ,
34,1,88,01,14,0,12,20,1,19,7,5,0,01,1,1,1,1,//,07,/////,b-c-d-e-f      ,UH
28,1,88,01,14,2,12,50,2,02,6,6,8,02,1,1,1,1,//,07,/////,               ,
34,1,88,01,14,0,13,35,2,11,7,5,0,02,1,1,1,1,//,07,/////,               ,U
34,1,88,01,14,0,13,35,2,08,7,5,0,03,0,1,1,1,//,07,/////,               ,U
02,1,88,01,14,0,14,00,2,14,4,5,3,01,0,1,1, ,  ,08,/////,b-c-d-e        ,
02,1,88,01,14,0,14,00,2,//,4,5,3,08,0,0,1, ,  ,08,804//,               ,
18,1,88,01,14,0,14,00,1,08,3,2,0,01,2,0,1,1,  ,08,/////,c-d-e-f-g      ,
26,1,88,01,14,0,14,00,1,12,5,1,0,01,1,1,1, ,  ,08,/////,b-c-d-e-f      ,nm
38,1,88,01,14,0,14,00,2,11,6,5,0,01,1,1,1, ,//,08,/////,b-c-d-e-f      ,
19,1,88,01,14,0,14,15,/,03,/,/,/,01,0,0,1, ,  ,08,/////,c-d-e-f-g      ,kE
19,1,88,01,14,0,14,15,/,03,/,/,/,03,0,4,2, ,  ,08,/////,               ,kE
26,1,88,01,14,0,14,15,2,04,6,1,0,08,1,0,2, ,  ,08,802//,               ,
26,1,88,01,14,0,14,15,2,04,6,1,0,09,1,0,2, ,  ,08,8//02,               ,
04,1,88,01,14,0,14,30,1,03,5,5,0,01,1,4,1,4,//,08,/////,b-c-d-e-f      ,
18,1,88,01,14,1,14,40,1,04,3,2,0,04,2,1,1,1,  ,08,/////,               ,
38,1,88,01,14,0,15,05,2,02,8,5,0,05,1,1,1, ,//,08,/////,               ,
18,1,88,01,14,1,15,10,1,01,3,2,0,08,0,0,2,1,  ,08,805//,               ,
42,1,88,01,14,0,15,20,2,//,2,4,0,08,1,0,/, ,  ,08,803//,               ,
